,Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version,LATITUDE,LONGITUDE,COUNT
226,dpz83eu,"POLYGON((-79.3817138671875 43.6582946777344, -79.3803405761719 43.6582946777344, -79.3803405761719 43.65966796875, -79.3817138671875 43.65966796875, -79.3817138671875 43.6582946777344))",43.658,-79.382,43.66,-79.38,POINT(-79.38117 43.65928),43.659,-79.381,Toronto,,Ontario,Canada,CA-ON,0.009,3,2022-02-02,5.1,43.659,-79.381,1
227,dpz2qeu,"POLYGON((-79.5135498046875 43.6582946777344, -79.5121765136719 43.6582946777344, -79.5121765136719 43.65966796875, -79.5135498046875 43.65966796875, -79.5135498046875 43.6582946777344))",43.658,-79.514,43.66,-79.512,POINT(-79.51334 43.65949),43.659,-79.513,Toronto,,Ontario,Canada,CA-ON,0.008,3,2022-02-02,5.1,43.659,-79.513,1
228,dpz837v,"POLYGON((-79.3913269042969 43.6582946777344, -79.3899536132812 43.6582946777344, -79.3899536132812 43.65966796875, -79.3913269042969 43.65966796875, -79.3913269042969 43.6582946777344))",43.658,-79.391,43.66,-79.39,POINT(-79.39049 43.65911),43.659,-79.39,Toronto,,Ontario,Canada,CA-ON,0.016,16,2022-02-02,5.1,43.659,-79.39,4
229,dpz83gz,"POLYGON((-79.3666076660156 43.6582946777344, -79.365234375 43.6582946777344, -79.365234375 43.65966796875, -79.3666076660156 43.65966796875, -79.3666076660156 43.6582946777344))",43.658,-79.367,43.66,-79.365,POINT(-79.36594 43.65922),43.659,-79.366,Toronto,,Ontario,Canada,CA-ON,0.011,4,2022-02-02,5.1,43.659,-79.366,2
230,dpz83eg,"POLYGON((-79.3830871582031 43.6582946777344, -79.3817138671875 43.6582946777344, -79.3817138671875 43.65966796875, -79.3830871582031 43.65966796875, -79.3830871582031 43.6582946777344))",43.658,-79.383,43.66,-79.382,POINT(-79.38227 43.65917),43.659,-79.382,Toronto,,Ontario,Canada,CA-ON,0.014,10,2022-02-02,5.1,43.659,-79.382,4
231,dpz8dju,"POLYGON((-79.3597412109375 43.7132263183594, -79.3583679199219 43.7132263183594, -79.3583679199219 43.714599609375, -79.3597412109375 43.714599609375, -79.3597412109375 43.7132263183594))",43.713,-79.36,43.715,-79.358,POINT(-79.35942 43.7142),43.714,-79.359,Toronto,,Ontario,Canada,CA-ON,0.013,7,2022-02-02,5.1,43.714,-79.359,2
232,dpz8sju,"POLYGON((-79.2718505859375 43.7132263183594, -79.2704772949219 43.7132263183594, -79.2704772949219 43.714599609375, -79.2718505859375 43.714599609375, -79.2718505859375 43.7132263183594))",43.713,-79.272,43.715,-79.27,POINT(-79.27136 43.71411),43.714,-79.271,Toronto,,Ontario,Canada,CA-ON,0.019,19,2022-02-02,5.1,43.714,-79.271,1
233,dpz89tz,"POLYGON((-79.3775939941406 43.7132263183594, -79.376220703125 43.7132263183594, -79.376220703125 43.714599609375, -79.3775939941406 43.714599609375, -79.3775939941406 43.7132263183594))",43.713,-79.378,43.715,-79.376,POINT(-79.3775 43.71342),43.713,-79.377,Toronto,,Ontario,Canada,CA-ON,0.004,3,2022-02-02,5.1,43.713,-79.377,1
234,dpz2tjf,"POLYGON((-79.5822143554688 43.7132263183594, -79.5808410644531 43.7132263183594, -79.5808410644531 43.714599609375, -79.5822143554688 43.714599609375, -79.5822143554688 43.7132263183594))",43.713,-79.582,43.715,-79.581,POINT(-79.58137 43.71398),43.714,-79.581,Toronto,,Ontario,Canada,CA-ON,0.024,66,2022-02-02,5.1,43.714,-79.581,1
235,dpz2xvz,"POLYGON((-79.4544982910156 43.7132263183594, -79.453125 43.7132263183594, -79.453125 43.714599609375, -79.4544982910156 43.714599609375, -79.4544982910156 43.7132263183594))",43.713,-79.454,43.715,-79.453,POINT(-79.45371 43.71415),43.714,-79.454,Toronto,,Ontario,Canada,CA-ON,0.002,3,2022-02-02,5.1,43.714,-79.454,1
