Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz90v0,"POLYGON((-79.420166015625 43.7969970703125, -79.4187927246094 43.7969970703125, -79.4187927246094 43.7983703613281, -79.420166015625 43.7983703613281, -79.420166015625 43.7969970703125))",43.797,-79.42,43.798,-79.419,POINT(-79.4197 43.79796),43.798,-79.42,Toronto,,Ontario,Canada,CA-ON,0.041,48,2022-02-02,5.1
dpz2pjw,"POLYGON((-79.4888305664062 43.6239624023438, -79.4874572753906 43.6239624023438, -79.4874572753906 43.6253356933594, -79.4888305664062 43.6253356933594, -79.4888305664062 43.6239624023438))",43.624,-79.489,43.625,-79.487,POINT(-79.48856 43.62523),43.625,-79.489,Toronto,,Ontario,Canada,CA-ON,0.024,6,2022-02-02,5.1
dpz9hv3,"POLYGON((-79.2430114746094 43.7983703613281, -79.2416381835938 43.7983703613281, -79.2416381835938 43.7997436523438, -79.2430114746094 43.7997436523438, -79.2430114746094 43.7983703613281))",43.798,-79.243,43.8,-79.242,POINT(-79.24209 43.79871),43.799,-79.242,Toronto,,Ontario,Canada,CA-ON,0.007,7,2022-02-02,5.1
dpz2pqm,"POLYGON((-79.4792175292969 43.6280822753906, -79.4778442382812 43.6280822753906, -79.4778442382812 43.6294555664063, -79.4792175292969 43.6294555664063, -79.4792175292969 43.6280822753906))",43.628,-79.479,43.629,-79.478,POINT(-79.4787 43.62898),43.629,-79.479,Toronto,,Ontario,Canada,CA-ON,0.004,16,2022-02-02,5.1
dpz2pjd,"POLYGON((-79.4943237304688 43.6239624023437, -79.4929504394531 43.6239624023438, -79.4929504394531 43.6253356933594, -79.4943237304688 43.6253356933594, -79.4943237304688 43.6239624023437))",43.624,-79.494,43.625,-79.493,POINT(-79.4938 43.62463),43.625,-79.494,Toronto,,Ontario,Canada,CA-ON,0.001,4,2022-02-02,5.1
dpz2rwg,"POLYGON((-79.4709777832031 43.6747741699219, -79.4696044921875 43.6747741699219, -79.4696044921875 43.6761474609375, -79.4709777832031 43.6761474609375, -79.4709777832031 43.6747741699219))",43.675,-79.471,43.676,-79.47,POINT(-79.47031 43.67566),43.676,-79.47,Toronto,,Ontario,Canada,CA-ON,0.007,7,2022-02-02,5.1
dpz9hm5,"POLYGON((-79.2622375488281 43.7969970703125, -79.2608642578125 43.7969970703125, -79.2608642578125 43.7983703613281, -79.2622375488281 43.7983703613281, -79.2622375488281 43.7969970703125))",43.797,-79.262,43.798,-79.261,POINT(-79.26197 43.79751),43.798,-79.262,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz2nm3,"POLYGON((-79.5286560058594 43.6225891113281, -79.5272827148438 43.6225891113281, -79.5272827148438 43.6239624023438, -79.5286560058594 43.6239624023438, -79.5286560058594 43.6225891113281))",43.623,-79.529,43.624,-79.527,POINT(-79.52789 43.6232),43.623,-79.528,Toronto,,Ontario,Canada,CA-ON,0.011,7,2022-02-02,5.1
dpz2nsg,"POLYGON((-79.5149230957031 43.6198425292969, -79.5135498046875 43.6198425292969, -79.5135498046875 43.6212158203125, -79.5149230957031 43.6212158203125, -79.5149230957031 43.6198425292969))",43.62,-79.515,43.621,-79.514,POINT(-79.51439 43.62042),43.62,-79.514,Toronto,,Ontario,Canada,CA-ON,0.014,75,2022-02-02,5.1
dpz94y2,"POLYGON((-79.332275390625 43.8038635253906, -79.3309020996094 43.8038635253906, -79.3309020996094 43.8052368164062, -79.332275390625 43.8052368164062, -79.332275390625 43.8038635253906))",43.804,-79.332,43.805,-79.331,POINT(-79.3317 43.804),43.804,-79.332,Toronto,,Ontario,Canada,CA-ON,0.018,6,2022-02-02,5.1
dpz2qsn,"POLYGON((-79.5108032226562 43.65966796875, -79.5094299316406 43.65966796875, -79.5094299316406 43.6610412597656, -79.5108032226562 43.6610412597656, -79.5108032226562 43.65966796875))",43.66,-79.511,43.661,-79.509,POINT(-79.5097 43.66092),43.661,-79.51,Toronto,,Ontario,Canada,CA-ON,0.153,167,2022-02-02,5.1
dpz2x28,"POLYGON((-79.486083984375 43.6843872070313, -79.4847106933594 43.6843872070312, -79.4847106933594 43.6857604980469, -79.486083984375 43.6857604980469, -79.486083984375 43.6843872070313))",43.684,-79.486,43.686,-79.485,POINT(-79.48494 43.68472),43.685,-79.485,Toronto,,Ontario,Canada,CA-ON,0.086,8,2022-02-02,5.1
dpz95tg,"POLYGON((-79.2951965332031 43.8011169433594, -79.2938232421875 43.8011169433594, -79.2938232421875 43.802490234375, -79.2951965332031 43.802490234375, -79.2951965332031 43.8011169433594))",43.801,-79.295,43.802,-79.294,POINT(-79.29441 43.8018),43.802,-79.294,Toronto,,Ontario,Canada,CA-ON,0.038,18,2022-02-02,5.1
dpz2nq0,"POLYGON((-79.530029296875 43.626708984375, -79.5286560058594 43.626708984375, -79.5286560058594 43.6280822753906, -79.530029296875 43.6280822753906, -79.530029296875 43.626708984375))",43.627,-79.53,43.628,-79.529,POINT(-79.52925 43.62709),43.627,-79.529,Toronto,,Ontario,Canada,CA-ON,0.03,10,2022-02-02,5.1
