,IncidentsTotal,SeverityScore,PercentOfVehicles,AvgAcceleration,LATITUDE,LONGITUDE,COUNT,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME
69,81.0,0.014,0.018,0.642,43.642,-79.381,1,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1735.0
70,34.0,0.017,0.034,0.563,43.642,-79.377,6,25 to 29,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1443.8333333333333
71,34.0,0.017,0.034,0.563,43.642,-79.377,6,30 to 34,Dry,Clear,"Dark, artificial",Traffic Signal,Other,Had Been Drinking,"Automobile, Station Wagon",1443.8333333333333
72,34.0,0.017,0.034,0.563,43.642,-79.377,6,35 to 39,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1443.8333333333333
73,34.0,0.017,0.034,0.563,43.642,-79.377,6,50 to 54,Dry,Clear,Daylight,Traffic Signal,Improper Lane Change,Inattentive,"Automobile, Station Wagon",1443.8333333333333
74,34.0,0.017,0.034,0.563,43.642,-79.377,6,65 to 69,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1443.8333333333333
75,34.0,0.017,0.034,0.563,43.642,-79.377,6,70 to 74,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1443.8333333333333
76,6.5,0.03,0.018,0.684,43.643,-79.573,1,30 to 34,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Had Been Drinking,Motorcycle,150.0
77,8.0,0.021,0.014,0.525,43.643,-79.455,1,30 to 34,Dry,Clear,Daylight,No Control,Other,Normal,"Automobile, Station Wagon",1925.0
78,59.0,0.011,0.01,0.569,43.643,-79.378,1,35 to 39,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1450.0
79,3.0,0.003,0.048,0.554,43.644,-79.4,2,20 to 24,Dry,Clear,Dark,Traffic Signal,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",106.0
80,15.0,0.019,0.03,0.5,43.644,-79.394,1,20 to 24,Dry,Clear,Dark,No Control,Lost control,Normal,Motorcycle,200.0
81,26.0,0.016,0.01,1.056,43.644,-79.375,6,15 to 19,Dry,Clear,Dark,Traffic Signal,Following too Close,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1556.5
82,26.0,0.016,0.01,1.056,43.644,-79.375,6,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1556.5
83,26.0,0.016,0.01,1.056,43.644,-79.375,6,55 to 59,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1556.5
84,26.0,0.016,0.01,1.056,43.644,-79.375,6,55 to 59,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",1556.5
85,26.0,0.016,0.01,1.056,43.644,-79.375,6,60 to 64,Dry,Clear,Daylight,No Control,Other,Medical or Physical Disability,"Automobile, Station Wagon",1556.5
86,26.0,0.016,0.01,1.056,43.644,-79.375,6,65 to 69,Wet,Rain,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1556.5
87,3.0,0.004,0.04,0.474,43.645,-79.523,2,20 to 24,Dry,Clear,"Dark, artificial",No Control,Following too Close,Inattentive,"Automobile, Station Wagon",2222.0
88,20.0,0.014,0.051,0.542,43.645,-79.403,3,45 to 49,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,Truck - Open,1264.0
89,20.0,0.014,0.051,0.542,43.645,-79.403,3,50 to 54,Wet,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1264.0
90,20.0,0.014,0.051,0.542,43.645,-79.403,3,unknown,Wet,Rain,Daylight,Traffic Signal,Improper Turn,Unknown,"Automobile, Station Wagon",1264.0
91,7.0,0.01,0.048,0.675,43.645,-79.392,1,unknown,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Unknown,"Automobile, Station Wagon",1800.0
92,9.0,0.008,0.047,0.609,43.645,-79.383,1,25 to 29,Wet,Clear,"Dusk, artificial",Stop Sign,Following too Close,Normal,Motorcycle,1937.0
93,10.0,0.034,0.043,0.708,43.645,-79.365,1,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1700.0
94,105.0,0.0205,0.029,0.63,43.646,-79.37,1,20 to 24,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,"Automobile, Station Wagon",1510.0
95,115.0,0.031,0.015,0.77,43.646,-79.367,1,25 to 29,Wet,Rain,"Dark, artificial",No Control,Lost control,Inattentive,"Truck - Closed (Blazer, etc)",505.0
96,3.0,0.006,0.037,0.455,43.647,-79.511,3,35 to 39,Dry,Clear,Daylight,Traffic Signal,Lost control,Normal,"Automobile, Station Wagon",1745.5
97,3.0,0.006,0.037,0.455,43.647,-79.511,3,70 to 74,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1745.5
98,10.0,0.007,0.024,0.519,43.647,-79.395,2,35 to 39,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,"Automobile, Station Wagon",1736.0
99,24.0,0.023,0.04,0.485,43.647,-79.384,4,30 to 34,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1996.0
100,24.0,0.023,0.04,0.485,43.647,-79.384,4,60 to 64,Dry,Clear,Daylight,Traffic Signal,Following too Close,Inattentive,Truck - Open,1996.0
101,24.0,0.023,0.04,0.485,43.647,-79.384,4,60 to 64,Wet,Rain,"Dusk, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,Pick Up Truck,1996.0
102,21.0,0.019,0.047,0.591,43.647,-79.377,6,25 to 29,Dry,Clear,Daylight,No Control,Other,Normal,"Truck - Closed (Blazer, etc)",1411.6666666666667
103,21.0,0.019,0.047,0.591,43.647,-79.377,6,25 to 29,Dry,Clear,"Daylight, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,Delivery Van,1411.6666666666667
104,21.0,0.019,0.047,0.591,43.647,-79.377,6,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1411.6666666666667
105,21.0,0.019,0.047,0.591,43.647,-79.377,6,35 to 39,Dry,Clear,Daylight,Traffic Signal,Following too Close,Had Been Drinking,Motorcycle,1411.6666666666667
106,21.0,0.019,0.047,0.591,43.647,-79.377,6,35 to 39,Wet,Rain,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1411.6666666666667
107,21.0,0.019,0.047,0.591,43.647,-79.377,6,unknown,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1411.6666666666667
108,15.0,0.003,0.0,0.379,43.648,-79.564,1,30 to 34,Dry,Clear,Daylight,No Control,Other,Inattentive,Truck - Open,1030.0
109,6.0,0.008,0.034,0.67,43.648,-79.485,3,15 to 19,Dry,Clear,Daylight,Traffic Signal,Following too Close,Normal,"Automobile, Station Wagon",1193.5
110,6.0,0.008,0.034,0.67,43.648,-79.485,3,20 to 24,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,Truck - Dump,1193.5
111,17.0,0.023,0.036,0.578,43.648,-79.404,3,25 to 29,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",1245.0
112,17.0,0.023,0.036,0.578,43.648,-79.404,3,25 to 29,Wet,Rain,"Dawn, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1245.0
113,29.0,0.02,0.042,0.41,43.648,-79.396,2,40 to 44,Slush,Clear,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",171.5
114,29.0,0.02,0.042,0.41,43.648,-79.396,2,unknown,Dry,Clear,"Dark, artificial",Traffic Signal,Other,Unknown,<Null>,171.5
115,44.0,0.028,0.032,0.634,43.648,-79.385,6,25 to 29,Dry,Clear,"Dark, artificial",No Control,Other,Normal,"Truck - Closed (Blazer, etc)",783.3333333333334
116,44.0,0.028,0.032,0.634,43.648,-79.385,6,50 to 54,Dry,Clear,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Inattentive,Truck - Open,783.3333333333334
117,44.0,0.028,0.032,0.634,43.648,-79.385,6,50 to 54,Dry,Clear,Daylight,No Control,Improper Lane Change,Unknown,"Automobile, Station Wagon",783.3333333333334
118,12.0,0.01,0.026,0.439,43.648,-79.38,4,60 to 64,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,Municipal Transit Bus (TTC),1239.0
119,12.0,0.01,0.026,0.439,43.648,-79.38,4,60 to 64,Dry,Clear,"Dark, artificial",Traffic Signal,Other,Normal,"Truck - Closed (Blazer, etc)",1239.0
120,22.0,0.015,0.041,0.563,43.648,-79.377,1,45 to 49,Loose Snow,Snow,Daylight,No Control,Failed to Yield Right of Way,Inattentive,Delivery Van,1623.0
121,18.0,0.021,0.048,0.427,43.648,-79.371,4,25 to 29,Dry,Clear,Daylight,No Control,Other,Normal,"Automobile, Station Wagon",1412.5
122,18.0,0.021,0.048,0.427,43.648,-79.371,4,25 to 29,Loose Snow,Snow,Daylight,No Control,Other,Inattentive,"Automobile, Station Wagon",1412.5
123,44.0,0.019,0.042,0.622,43.648,-79.355,1,unknown,Dry,Clear,"Dawn, artificial",Traffic Signal,Other,Unknown,Other,445.0
124,14.0,0.012,0.042,0.579,43.648,-79.354,3,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Inattentive,Motorcycle,1063.0
125,14.0,0.012,0.042,0.579,43.648,-79.354,3,40 to 44,Dry,Clear,Daylight,Traffic Signal,Speed too Fast For Condition,Unknown,Motorcycle,1063.0
126,14.0,0.012,0.042,0.579,43.648,-79.354,3,60 to 64,Wet,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Other,"Automobile, Station Wagon",1063.0
127,9.0,0.034,0.038,0.444,43.649,-79.528,1,40 to 44,Dry,Clear,Daylight,No Control,Lost control,Unknown,"Automobile, Station Wagon",1403.0
128,6.0,0.005,0.035,0.419,43.649,-79.431,5,20 to 24,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1028.3333333333333
129,6.0,0.005,0.035,0.419,43.649,-79.431,5,30 to 34,Wet,Rain,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1028.3333333333333
