,LATITUDE,LONGITUDE,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME,AvgAcceleration,PercentCar,PercentHDT,PercentLDT,PercentMDT,PercentMPV,PercentOfVehicles,PercentOther,COUNT
113,43.618,-79.486,unknown,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1007.5,0.388,0.0,0.029,0.531,0.169,0.218,0.049,0.053,2
114,43.619,-79.553,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Passenger Van,1914.0,0.607,0.018,0.36,0.266,0.083,0.132,0.002,0.142,1
115,43.619,-79.525,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1057.0,0.62,0.024,0.344,0.28,0.085,0.137,0.024,0.13,1
116,43.619,-79.499,50 to 54,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,"Automobile, Station Wagon",2005.0,0.529,0.019,0.229,0.363,0.067,0.214,0.033,0.108,1
117,43.62,-79.527,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol","Automobile, Station Wagon",147.0,0.312,0.016,0.119,0.238,0.048,0.422,0.042,0.157,1
118,43.62,-79.526,50 to 54,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",2100.0,0.413,0.014,0.319,0.228,0.087,0.212,0.019,0.141,1
119,43.62,-79.513,35 to 39,Dry,Clear,Daylight,No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",982.0,0.517,0.029,0.192,0.381,0.088,0.178,0.013,0.132,2
120,43.62,-79.513,40 to 44,Dry,Clear,Dark,No Control,Lost control,Inattentive,"Automobile, Station Wagon",982.0,0.517,0.029,0.192,0.381,0.088,0.178,0.013,0.132,2
121,43.62,-79.511,40 to 44,Other,Other,Daylight,<Null>,<Null>,<Null>,"Automobile, Station Wagon",1128.0,0.566,0.019,0.281,0.289,0.1,0.135,0.048,0.176,3
122,43.62,-79.51,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",340.0,0.524,0.0,0.15,0.21,0.06,0.458,0.037,0.123,1
123,43.62,-79.51,unknown,Dry,Clear,"Dark, artificial",No Control,Other,Unknown,"Automobile, Station Wagon",340.0,0.524,0.0,0.15,0.21,0.06,0.458,0.037,0.123,1
124,43.62,-79.509,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",253.0,0.562,0.0,0.259,0.173,0.031,0.459,0.066,0.078,1
