,LATITUDE,LONGITUDE,PEDTYPE,PEDACT,PEDCOND,TRAFFCTL,LIGHT,VISIBILITY,RDSFCOND,TIME
227,43.646,-79.398,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,738.0
228,43.646,-79.391,Pedestrian hit at mid-block,Running onto Roadway,Had Been Drinking,No Control,Dark,Clear,Dry,2330.0
229,43.646,-79.389,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,953.0
230,43.646,-79.385,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1830.0
231,43.646,-79.384,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking,No Control,"Dark, artificial",Clear,Dry,1945.0
232,43.646,-79.376,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,No Control,"Dusk, artificial",Clear,Dry,1687.5
233,43.646,-79.376,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,No Control,"Dusk, artificial",Drifting Snow,Dry,1687.5
234,43.647,-79.559,Vehicle turns left while ped crosses without ROW at inter.,"Crossing, no Traffic Control",Unknown,Stop Sign,Daylight,Clear,Dry,1109.0
235,43.647,-79.529,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,No Control,"Dark, artificial",Clear,Dry,1353.5
236,43.647,-79.529,Pedestrian hit at private driveway,"Crossing, no Traffic Control",Normal,No Control,Daylight,Clear,Dry,1353.5
237,43.647,-79.526,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Stop Sign,Daylight,Clear,Dry,910.0
238,43.647,-79.524,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,No Control,Dark,Clear,Dry,1911.0
239,43.647,-79.511,Vehicle is going straight thru inter.while ped cross without ROW,Crossing marked crosswalk without ROW,Unknown,Traffic Signal,Daylight,Clear,Dry,1645.0
240,43.647,-79.511,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Dark,Clear,Dry,1645.0
241,43.647,-79.437,Vehicle turns right while ped crosses without ROW at inter.,Crossing without right of way,Inattentive,No Control,Daylight,Clear,Dry,1551.0
242,43.647,-79.404,Vehicle is going straight thru inter.while ped cross without ROW,Running onto Roadway,Other,No Control,Daylight,Clear,Dry,658.0
243,43.647,-79.403,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Unknown,No Control,Daylight,Clear,Wet,1355.0
244,43.647,-79.403,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive,Traffic Signal,Dark,Clear,Dry,1355.0
245,43.647,-79.403,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,Traffic Signal,Daylight,Clear,Dry,1355.0
246,43.647,-79.402,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,No Control,Daylight,Clear,Dry,1800.0
247,43.647,-79.402,Pedestrian hit at mid-block,Person Getting on/off Vehicle,Normal,No Control,Dark,Snow,Loose Snow,1800.0
