,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
335,3,0.016,43.711,-79.391,2
336,29,0.04,43.711,-79.377,3
337,3,0.006,43.711,-79.248,2
338,28,0.055,43.712,-79.58,1
339,3,0.007,43.712,-79.565,1
340,7,0.018,43.712,-79.428,1
341,3,0.004,43.713,-79.377,1
342,34,0.093,43.713,-79.367,4
343,66,0.024,43.714,-79.581,1
344,118,0.006,43.714,-79.536,1
345,3,0.002,43.714,-79.454,1
346,3,0.007,43.714,-79.4,2
347,7,0.013,43.714,-79.359,2
348,6,0.009,43.714,-79.336,2
349,19,0.019,43.714,-79.271,1
350,68,0.004,43.715,-79.531,2
351,30,0.024,43.715,-79.507,2
352,7,0.014,43.715,-79.479,1
353,11,0.014,43.716,-79.443,4
354,10,0.011,43.717,-79.595,3
355,38,0.016,43.717,-79.537,2
356,9,0.006,43.717,-79.507,1
357,9,0.014,43.717,-79.413,1
358,4,0.002,43.718,-79.516,1
359,7,0.009,43.718,-79.445,1
360,81,0.07,43.718,-79.43,1
361,6,0.002,43.718,-79.327,1
362,10,0.013,43.719,-79.508,4
363,6,0.014,43.719,-79.401,1
364,4,0.022,43.719,-79.284,2
365,38,0.056,43.721,-79.537,1
366,25,0.027,43.721,-79.456,2
367,10,0.043,43.721,-79.43,1
368,3,0.011,43.722,-79.469,1
369,17,0.019,43.722,-79.456,1
370,6,0.002,43.722,-79.33,1
371,6,0.02,43.723,-79.43,1
372,9,0.019,43.723,-79.339,1
373,19,0.005,43.723,-79.33,2
374,39,0.0475,43.723,-79.302,2
375,3,0.006,43.725,-79.56,1
376,11,0.026,43.725,-79.55,1
377,10,0.023,43.725,-79.431,2
378,7,0.005,43.725,-79.402,3
379,10,0.005,43.725,-79.33,1
380,99,0.068,43.725,-79.303,1
381,34,0.017,43.726,-79.482,3
382,38,0.022,43.726,-79.457,3
383,6,0.016,43.726,-79.431,2
384,7,0.008,43.726,-79.397,1
385,23,0.007,43.726,-79.33,1
386,26,0.047,43.726,-79.318,4
387,5,0.005,43.726,-79.303,1
388,3,0.006,43.727,-79.287,1
389,38,0.031,43.728,-79.482,2
390,9,0.015,43.728,-79.418,3
391,3,0.006,43.729,-79.304,2
392,52,0.047,43.73,-79.601,4
393,3,0.008,43.73,-79.432,1
394,12,0.016,43.731,-79.483,2
395,17,0.023,43.732,-79.458,1
396,3,0.008,43.732,-79.419,1
397,3,0.008,43.732,-79.404,1
398,16,0.073,43.732,-79.278,1
399,38,0.034,43.733,-79.538,3
