,LATITUDE,LONGITUDE,COUNT
478,43.646,-79.367,1
479,43.646,-79.366,3
480,43.647,-79.568,1
481,43.647,-79.559,1
482,43.647,-79.529,2
483,43.647,-79.526,1
484,43.647,-79.525,1
485,43.647,-79.524,1
486,43.647,-79.511,3
487,43.647,-79.486,1
488,43.647,-79.437,1
489,43.647,-79.43,2
490,43.647,-79.424,1
491,43.647,-79.42,1
492,43.647,-79.404,1
493,43.647,-79.403,6
494,43.647,-79.402,2
495,43.647,-79.401,1
496,43.647,-79.399,1
497,43.647,-79.395,2
498,43.647,-79.392,2
499,43.647,-79.39,2
500,43.647,-79.387,1
501,43.647,-79.386,4
502,43.647,-79.384,4
503,43.647,-79.379,4
504,43.647,-79.377,6
505,43.647,-79.375,2
506,43.647,-79.373,1
507,43.648,-79.564,1
508,43.648,-79.551,1
509,43.648,-79.548,2
510,43.648,-79.529,1
511,43.648,-79.528,1
512,43.648,-79.507,1
513,43.648,-79.505,1
514,43.648,-79.49,1
515,43.648,-79.485,3
516,43.648,-79.475,2
517,43.648,-79.457,3
518,43.648,-79.45,1
519,43.648,-79.404,3
520,43.648,-79.399,1
521,43.648,-79.397,4
522,43.648,-79.396,2
523,43.648,-79.395,2
524,43.648,-79.393,1
525,43.648,-79.388,1
526,43.648,-79.386,1
527,43.648,-79.385,6
528,43.648,-79.382,1
529,43.648,-79.381,3
530,43.648,-79.38,4
531,43.648,-79.379,2
532,43.648,-79.377,1
533,43.648,-79.373,1
534,43.648,-79.371,4
535,43.648,-79.37,3
536,43.648,-79.367,1
537,43.648,-79.361,1
538,43.648,-79.355,1
539,43.648,-79.354,3
540,43.648,-79.352,1
541,43.648,-79.349,1
542,43.648,-79.344,1
543,43.648,-79.327,1
544,43.649,-79.531,1
545,43.649,-79.528,1
546,43.649,-79.495,2
547,43.649,-79.484,1
548,43.649,-79.481,1
549,43.649,-79.45,1
550,43.649,-79.444,1
551,43.649,-79.435,1
552,43.649,-79.433,2
553,43.649,-79.431,5
554,43.649,-79.429,1
