,LATITUDE,LONGITUDE,COUNT
563,43.667,-79.385,2
564,43.667,-79.383,1
565,43.667,-79.381,1
566,43.667,-79.378,1
567,43.667,-79.373,1
568,43.667,-79.371,1
569,43.667,-79.348,1
570,43.667,-79.342,1
571,43.667,-79.326,1
572,43.667,-79.312,2
573,43.667,-79.311,1
574,43.668,-79.492,2
575,43.668,-79.485,1
576,43.668,-79.483,1
577,43.668,-79.461,1
578,43.668,-79.447,1
579,43.668,-79.441,1
580,43.668,-79.438,1
581,43.668,-79.412,1
582,43.668,-79.393,1
583,43.668,-79.386,1
584,43.668,-79.369,3
585,43.668,-79.342,1
586,43.668,-79.34,1
587,43.668,-79.338,3
588,43.668,-79.337,1
589,43.669,-79.492,1
590,43.669,-79.466,1
591,43.669,-79.436,1
592,43.669,-79.432,1
593,43.669,-79.431,1
594,43.669,-79.412,1
595,43.669,-79.389,1
596,43.669,-79.382,1
597,43.669,-79.378,1
598,43.669,-79.376,1
599,43.669,-79.357,1
600,43.669,-79.343,1
601,43.669,-79.336,1
602,43.669,-79.311,1
603,43.669,-79.302,1
604,43.669,-79.3,1
605,43.67,-79.488,1
606,43.67,-79.476,1
607,43.67,-79.475,1
608,43.67,-79.474,1
609,43.67,-79.455,1
610,43.67,-79.453,1
611,43.67,-79.413,1
612,43.67,-79.394,1
613,43.67,-79.389,1
614,43.67,-79.388,1
615,43.67,-79.382,1
616,43.67,-79.375,1
617,43.67,-79.37,1
618,43.67,-79.353,1
619,43.67,-79.343,1
620,43.67,-79.296,1
621,43.671,-79.493,1
622,43.671,-79.492,1
623,43.671,-79.488,1
624,43.671,-79.474,1
625,43.671,-79.472,1
626,43.671,-79.459,1
627,43.671,-79.449,1
628,43.671,-79.44,1
629,43.671,-79.421,2
630,43.671,-79.395,3
631,43.671,-79.39,1
632,43.671,-79.389,1
633,43.671,-79.387,1
634,43.671,-79.383,2
635,43.671,-79.324,1
636,43.671,-79.294,1
637,43.672,-79.521,1
638,43.672,-79.493,1
639,43.672,-79.468,1
640,43.672,-79.467,2
641,43.672,-79.441,1
642,43.672,-79.423,1
643,43.672,-79.405,1
644,43.672,-79.387,1
